STATUS ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Full ,"193,200","217,900","277,800","292,300","301,500","338,800","385,879","441,067","441,004","482,055","514,086","527,816","554,400","591,460","592,807","589,296","598,331","606,665"
Empty ,"14,600","11,600","4,200","5,100","6,400","6,500","6,768","3,705","8,385","6,617","5,970","8,167","7,055","10,427","8,715","10,733","9,828","16,462"
IMPORTS ,"207,800","229,500","282,000","297,400","307,900","345,300","392,647","444,772","449,389","488,672","520,056","535,983","561,455","601,887","601,522","600,029","608,159","623,127"
Full ,"94,100","86,300","101,300","102,900","95,800","110,300","115,303","120,712","129,522","130,757","121,531","128,913","134,464","149,303","145,192","153,739","166,024","189,493"
Empty ,"107,500","132,200","165,500","181,000","205,600","225,400","242,927","325,912","298,820","331,719","391,841","378,444","406,799","425,379","450,768","422,180","431,838","418,797"
EXPORTS ,"201,600","218,600","266,900","283,900","301,500","335,700","358,230","446,624","428,342","462,476","513,372","507,357","541,263","574,682","595,960","575,919","597,862","608,290"
Full ,"22,300","21,800","30,700","30,300","7,400","11,100","16,107","10,553","12,118","52,707","37,384","42,586","60,998","85,776","151,983","123,578","153,725","141,653"
Empty ,"5,000","9,500","5,800","4,200","2,100","3,500","3,820","1,514","4,151","8,147","5,306","5,445","20,205","35,801","59,621","52,249","66,762","68,517"
TRANSHIPMENT ,"27,300","31,300","36,500","34,500","9,500","14,600","19,927","12,067","16,269","60,854","42,690","48,031","81,203","121,577","211,604","175,827","220,487","210,170"
Full ,0,0,0,0,0,0,0,0,0,0,0,0,"5,238","5,590","7,022","6,896","7,664","5,712"
Empty ,0,0,0,0,0,0,0,0,0,0,0,0,798,126,546,908,"1,078","2,564"
Restows,0,0,0,0,0,0,0,0,0,0,0,0,"6,036","5,716","7,568","7,804","8,742","8,276"
Full ,"309,700","326,000","409,800","425,500","404,700",200,"517,289","572,332","582,644","665,519","673,001","699,315","755,100","832,129","897,004","873,509","925,744","943,523"
Empty ,"127,000","153,300","175,600","190,200","214,100","235,400","253,515","331,131","311,356","346,483","403,117","392,056","434,857","471,733","519,650","486,070","509,506","506,340"
TOTAL ,"436,700","479,400","585,400","615,700","618,800","695,600","770,804","903,463","894,000","1,012,002","1,076,118","1,091,371","1,189,957","1,303,862","1,416,654","1,359,579","1,435,250","1,449,863"
